"SiteID","Domain","Site.Status","Site.Long.Name","Latitude","Longitude","Time.Zone","Core.Relocatable","Site.Heating","Permafrost.Site.","DFIR.Hut.Support","EC.SE.Dehumidifier.Site.","Tower.Height..ft.","Tower.Support.Type","Num.of.Tower.sections","Tower.Section..1.Section.Type","Tower.Section..2.Section.Type","Uppermost.Heavy.Extreme.Tower.section","FAA.Lights.Required.","Num.of.MLs","Profile.Boom.Style","ML2.Tower.section","ML3.Tower.section","ML4.Tower.Section","Tower.Top.Boom.Style","Tower.Top.EC.Boom","Tower.Top.Rad.Boom","Tower.Top.Temp.Boom","SE.Rad.Boom.Face","CIMEL.corner","Tipping.Bucket.Corner","NEMA.face","Up.Down.PAR.direction","X","Particulate.Site.","Wet.Dep.Site.","BGMS.Site.","Gas.Profile.Vapor.Site","Gas.Profile.Orifice.Size","Gas.Profile.Pump.Altitude.Type","Extreme.Heated.Site.but.Standard.Heat.ATS.ATT.","Soil.Throughfall.per.plot","Soil.CO2.per.plot","High.Water.Level.Soil.Plots.Site","Soil.CO2.type","Soil.Plot.count","Soil.Temp.site.specific.config.used.","Permafrost.site.","PM.Code","DP1.00007.001","DP1.00001.001","DP1.00002.001","DP1.00003.001","DP1.00024.001","DP1.00014.001","DP1.00022.001","DP1.00023.001","DP1.00066.001","DP1.00006.001","DP1.00040.001","DP1.00034.001","DP1.00041.001.001","DP1.00041.001.002","DP1.00041.001.003","DP1.00041.001.004","DP1.00041.001.005"
"UNDE","D05","A-FY14","UNDERC",46.23388,-89.53725,"America/Menominee","Core","Heated","No","No Power, Yes Fiber","Yes",127,"Guyed",11,"Standard","Standard",0,"No",6,"Combined",3,5,8,"Combined","CB","AB","AB","D","y-AB","y-CD","C","Left","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"No","No","D05C",1,5,5,1,6,1,1,2,3,1,3,1,9,9,9,9,9
"TREE","D05","D-FY15-3","Treehaven",45.49369,-89.58571,"US/Central","Relocatable","Heated","No","N/A","No",116,"Guyed",10,"Standard","Standard","NA","No",6,"Combined",1,3,7,"Combined","CB","BA","BA","D","AB","y-CD","C","Right","NA","No","No","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D05R2",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"STEI","D05",,"Steigerwaldt Land Services",45.50894,-89.58637,"US/Central","Relocatable","Heated","No","N/A","No",70,"Self Supporting",6,"Heavy","Heavy",3,"No",6,"Combined",2,3,4,"Combined","CB","BA","BA","D","AB","y-CD","C","Right","NA","No","Yes","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D05R1",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"UKFS","D06",,"The University of Kansas Field Station",39.04043,-95.19215,"US/Central","Relocatable","Heated","No","N/A","No",116,"Guyed",10,"Standard","Standard",0,"L-810",6,"Combined",1,3,6,"Combined","CB","BA","BA","D","y-AB","y-CD","C","Right","NA","No","Yes","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D06R1",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"KONZ","D06","C-FY15-2","Konza Prairie Biological Station",39.10077,-96.56309,"US/Central","Core","Heated","No","Yes Power, Yes Fiber","Yes",26,"Self Supporting",2,"Standard","Standard",0,"No",4,"Split",1,2,3,"Combined","CB","BA","BA","D","y-AD","NA","C","Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D06C",1,3,3,1,4,1,1,2,3,1,3,1,9,9,9,9,9
"KONA","D06",,"Konza Prairie Biological Station",39.11044,-96.61295,"US/Central","Relocatable","Heated","No","N/A","No",26,"Self Supporting",2,"Standard","Standard",0,"No",4,"Split",1,2,3,"Combined","CB","BA","BA","D","AD","y-CD","C","Right","NA","No","No","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D06R2",1,3,3,1,4,1,0,2,3,0,3,1,9,9,9,9,9
"ORNL","D07","B-FY15-1","Oak Ridge",29.68927,-81.99343,"US/Eastern","Core","Heated","No","No Power, No Fiber","No",127,"Guyed",11,"Standard","Standard",0,"No",6,"Combined",2,5,7,"Combined","DA","BA","BA","C","y-AD","y-BC","D","Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D07C",1,5,5,1,6,1,1,2,3,1,3,1,9,9,9,9,9
"MLBS","D07","B-FY15-1","Mountain Lake Biological Station",37.37828,-80.52484,"US/Eastern","Relocatable","Heated","No","N/A","No",94,"Guyed",8,"Standard","Standard",0,"No",6,"Split",2,3,5,"Combined","CD","AB","AB","A","y-AB","y-BC","C","Left","NA","No","Yes","No","No",42,"Standard",,4,3,"No","GMP343",5,"Yes","No","D07R1",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,7
"GRSM","D07","E-FY15-4","Great Smoky Mountains National Park, Twin Creeks",35.68896,-83.50195,"US/Eastern","Relocatable","Heated","No","N/A","No",149,"Guyed",13,"Standard","Standard",0,"No",6,"Split",2,5,8,"Combined","CD","DA","DA","A","y-AB","y-BC","C","Left","NA","No","Yes","No","No",42,"Standard",,4,3,"No","GMP343",5,"No","No","D07R2",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"TALL","D08","B-FY15-1","Talladega National Forest",32.95046,-87.39327,"US/Central","Core","Non-heated","No","No Power, No Fiber","Yes",116,"Guyed",10,"Standard","Standard",0,"No",5,"Split",1,7,9,"Combined","CB","BA","BA","D","y-AD","y-CD","C","Right","NA","No","Yes","No","Yes",42,"Standard",,5,3,"No","GMP343",5,"Yes","No","D08C",1,4,4,1,5,1,1,2,3,1,3,1,9,9,9,9,9
"LENO","D08",,"Lenoir Landing",31.85388,-88.16122,"US/Central","Relocatable","Non-heated","No","N/A","No",149,"Guyed",13,"Heavy","Heavy",8,"No",6,"Split",1,5,10,"Combined","CB","BA","BA","D","y-AD","y-CD","C","Right","NA","No","Yes","No","No",42,"Standard",,4,3,"Yes","GMP343",5,"Yes","No","D08R2",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
"DELA","D08","A-FY14","Dead Lake",32.54172,-87.80389,"US/Central","Relocatable","Non-heated","No","N/A","No",138,"Guyed",12,"Standard","Standard",0,"No",6,"Combined",2,6,9,"Combined","DA","BA","BA","C","AD","y-BC","D","Right","NA","No","Yes","No","No",42,"Standard",,4,3,"Yes","GMP343",5,"Yes","No","D08R1",1,5,5,1,6,1,0,2,3,0,3,1,9,9,9,9,9
